slug,name,skynet_score,market_cap,trading_vol_24h,volume_24h_display,volume_7d_display,all_time_volume,project_age_raw,project_founded_date,token_launch_age_raw,token_launch_date,has_website,website_url,has_github,github_url,has_twitter,twitter_url,has_discord,discord_url,has_telegram,telegram_url,ecosystems,audit_3p_count,audit_3p_records,has_certik_audit,certik_audit_count,certik_last_audit_date,certik_audit_names,certik_kyc,third_party_kyc,total_proposals,max_total_votes,major_holding_ratio,owner_holding_ratio
camelot-token,Camelot Token,73.88,$1.13M,$2.59K,$7.85M,$45.87M,$64.3B,3 yrs 7 mos,2022-11-20,3 yrs 7 mos,2022-11-20,0,,0,,1,https://twitter.com/camelotdex,0,,0,,Arbitrum,0,,No,,,,No,No,,,,
peanut,Peanut,74.00,$369.56K,$1.89K,,,,5 yrs 5 mos,2021-01-20,5 yrs 5 mos,2021-01-20,0,,0,,1,https://twitter.com/peanuttrade,0,,0,,Ethereum,0,,No,,,,No,No,,,25.24%,2.02%
paraswap,ParaSwap,73.96,$766.82K,$148.22,,,,4 yrs 7 mos,2021-11-20,4 yrs 7 mos,2021-11-20,0,,1,https://github.com/paraswap,1,https://twitter.com/paraswap,0,,1,https://t.me/paraswap,Polygon,0,,Yes,2,,,No,No,,,80.24%,0.00%
brightpool,Brightpool,73.93,,$94.90,,,,2 yrs 2 mos,2024-04-20,2 yrs 2 mos,2024-04-20,0,,0,,1,https://twitter.com/BrightpoolX,0,,0,,Ethereum | Arbitrum,0,,No,,,,,,,,,
streamcoin,StreamCoin,73.84,$554.58K,$101.47K,,,,4 yrs 10 mos,2021-08-20,4 yrs 8 mos,2021-10-20,0,,1,https://github.com/stream-coin-tech,1,https://twitter.com/streamcoin_strm,0,,1,https://t.me/StreamCoin_Official_Community,Bsc,0,,Yes,1,,,No,No,,,99.66%,0.00%
sologenic,Sologenic,74.24,,$2.80K,,,,6 yrs 8 mos,2019-10-20,4 yrs 4 mos,2022-02-20,0,,1,https://github.com/sologenic,1,https://x.com/realSologenic,1,https://discord.com/invite/hwUhpnGtGC,1,https://t.me/SOLOGENICxGoSOLO,,0,,Yes,1,12/26/2025,Tokenize-X Audit,No,No,,,91.47%,82.70%
changex,ChangeX,73.65,$249.94K,$5.84K,,,,3 yrs 11 mos,2022-07-20,3 yrs 11 mos,2022-07-20,0,,0,,1,https://twitter.com/ChangeXapp,0,,1,https://t.me/changex_official,Ethereum,0,,No,,,,No,No,,,34.10%,0.00%
maverick-protocol,Maverick Protocol,73.63,$9.66M,$4.29M,$1.18M,$9.23M,$71.04B,3 yrs 0 mos,2023-06-20,3 yrs 0 mos,2023-06-20,0,,0,,1,https://twitter.com/mavprotocol,0,,1,https://t.me/maverickprotocolofficial,Polygon,0,,Yes,1,,,No,No,7,2M,0.01%,0.00%
aircash,AirCash,73.58,,$147.10,,,,5 yrs 1 mos,2021-05-20,4 yrs 9 mos,2021-09-20,0,,1,https://github.com/Aircoin-official/AirCash,1,https://twitter.com/Aircoinreal,0,,1,https://t.me/aircoinreal,Bsc,0,,Yes,1,,,No,No,,,3.04%,0.00%
derivadao,DerivaDAO,73.28,$1.28M,$198.99,,,,5 yrs 6 mos,2020-12-20,5 yrs 6 mos,2020-12-20,0,,0,,1,https://twitter.com/DDX_Official,1,https://discord.com/invite/uR2Kt4Q,0,,Ethereum,0,,No,,,,No,No,,,85.55%,0.00%
rails,Rails,73.45,,$5.28K,,,,3 yrs 4 mos,2023-02-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/rails_xyz,0,,0,,,0,,No,,,,No,No,,,96.74%,0.00%
blackhole,Blackhole,74.01,$784.66K,$315.39K,,,,1 yrs 2 mos,2025-04-20,1 yrs 2 mos,2025-04-20,0,,0,,1,https://twitter.com/BlackholeDex,0,,0,,Avalanche,1,05/24/2025|Peckshield,No,,,,No,No,,,65.75%,0.00%
deso,Decentralized Social,73.34,$26.21M,$5.47K,,,,5 yrs 8 mos,2020-10-20,5 yrs 8 mos,2020-10-20,0,,1,https://github.com/deso-protocol,1,https://twitter.com/desoprotocol,0,,0,,,0,,No,,,,No,No,,,,
luffy-v2,Luffy,73.31,$436.45K,$9.76K,,,,3 yrs 3 mos,2023-03-20,3 yrs 3 mos,2023-03-20,0,,0,,1,https://twitter.com/LuffyInuToken,0,,0,,,3,03/15/2023|InterFi Network; 06/07/2022|InterFi Network; 04/13/2022|InterFi Network,No,,,,No,No,,,2.32%,0.00%
leverj-gluon,Leverj Gluon,73.24,,,,,,8 yrs 8 mos,2017-10-20,5 yrs 8 mos,2020-10-20,0,,1,https://github.com/leverj,1,https://twitter.com/Leverj_io,0,,1,https://t.me/leverj,Ethereum,0,,No,,,,No,No,,,21.17%,0.00%
bitkan,BitKan,73.23,$5.90M,$89.73K,,,,8 yrs 4 mos,2018-02-20,8 yrs 4 mos,2018-02-20,0,,0,,1,https://x.com/bitkanofficial,0,,1,https://t.me/bitkanofficial,Ethereum,0,,No,,,,No,No,,,43.45%,0.00%
polkaswap,Polkaswap,73.24,$1.42M,$3.86K,$0,$0,$284.07M,7 yrs 1 mos,2019-05-20,5 yrs 1 mos,2021-05-20,0,,1,https://github.com/sora-xor,1,https://twitter.com/polkaswap,0,,1,https://t.me/polkaswap,,0,,No,,,,No,No,,,38.78%,0.00%
ubeswap,Ubeswap,73.15,$43.81K,$1.49K,"$66,998.00","$345,591.00",$1.3B,5 yrs 2 mos,2021-04-20,5 yrs 2 mos,2021-04-20,0,,0,,1,https://twitter.com/ubeswap,0,,0,,Celo,0,,No,,,,No,No,,,,
crowdswap,CrowdSwap,73.51,$53.66K,$440.27,,,,4 yrs 6 mos,2021-12-20,4 yrs 6 mos,2021-12-20,0,,0,,1,https://twitter.com/CrowdSwap_App,0,,1,https://t.me/crowdswap_group,Polygon,0,,No,,,,No,No,,,98.35%,0.00%
novain-ai,Nova,73.05,,$8.07K,,,,0 yrs 10 mos,2025-08-20,0 yrs 10 mos,2025-08-20,0,,1,https://github.com/novainai/smartcontract,1,https://twitter.com/Ai_Nova_in,0,,1,https://t.me/ai_novain,,0,,No,,,,No,No,,,74.02%,0.00%
bytedex,ByteDex,73.03,,,,,,5 yrs 1 mos,2021-05-20,,,0,,0,,1,https://twitter.com/ByteExchange,0,,0,,,1,12/22/2021|Cyberscope,No,,,,No,No,,,,
zenfuse,Zenfuse,73.03,,,,,,8 yrs 5 mos,2018-01-20,5 yrs 8 mos,2020-10-20,0,,1,https://github.com/zenfuse,1,https://twitter.com/zenfuse_io,0,,0,,Bsc | Ethereum,0,,Yes,1,,,No,No,,,38.69%,0.00%
stabble,stabble,72.98,$45.11K,$671.27,"$61,235.00","$439,155.00",$29.9B,4 yrs 5 mos,2022-01-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://x.com/stabbleorg,0,,0,,Solana | Sei,0,,No,,,,No,No,,,,
biswap,Biswap,72.95,$224.87K,$52.56K,"$116,948.00","$595,591.00",$44.73B,5 yrs 1 mos,2021-05-20,5 yrs 0 mos,2021-06-20,0,,1,https://github.com/biswap-org,1,https://twitter.com/Biswap_DEX,0,,1,https://t.me/biswap,Bsc | Ethereum,0,,Yes,3,11/30/2023,"Biswap v3 amm (audit) Biswap (Audit 4) Biswap Biswap IFO Biswap NFT <div class=""cursor-pointer text-xs font-semibold whitespace-nowrap transition-colors select-none focus:outline-hidden mr-2 rounded-none p-0 text-neutral-50 hover:text-neutral-70 dark:hover:text-neutral-30"" id=""headlessui-radiogroup-option-_R_dcmarqa59j2q6_""",No,No,24,42M,30.80%,0.00%
wombat-exchange,Wombat Exchange,73.38,$39.97K,$22.72K,"$34,168.00","$135,405.00",$3.93B,3 yrs 10 mos,2022-08-20,3 yrs 10 mos,2022-08-20,0,,0,,1,https://twitter.com/WombatExchange,0,,1,https://t.me/WombatExchange,Bsc,0,,No,,,,No,No,,,89.79%,0.00%
squadswap,SquadSwap,72.86,,$161.56,,,,2 yrs 6 mos,2023-12-20,2 yrs 6 mos,2023-12-20,0,,0,,1,https://twitter.com/squad_swap,0,,1,https://t.me/pancakesquadnft,Bsc,3,02/02/2025|Peckshield; 12/28/2023|Cyberscope; 11/24/2023|Cyberscope,No,,,,No,No,,,99.30%,0.00%
stellaswap,StellaSwap,73.15,$130.69K,$69.70,$763.00,"$8,511.00",$1.08B,4 yrs 5 mos,2022-01-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/stellaswap,1,https://twitter.com/StellaSwap,0,,1,https://t.me/stellaswap,Polkadot,0,,Yes,1,,,No,No,,,,
buni,Bunicorn,70.08,,$182.94,,,,5 yrs 2 mos,2021-04-20,5 yrs 0 mos,2021-06-20,0,,1,https://github.com/bunicorndefi,1,https://twitter.com/bunicornswap,0,,0,,Bsc,0,,Yes,1,,,No,No,,,74.31%,5.72%
dexlab,Dexlab,72.84,$11.67K,$6.59,,,,1 yrs 1 mos,2025-05-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/dexlab-protocol,1,https://twitter.com/Dexlab_official,0,,1,https://t.me/Dexlab_official,Solana,0,,No,,,,No,No,,,,
antimatter,AntiMatter Governance Token,72.79,$84.17K,$3.89K,,,,5 yrs 4 mos,2021-02-20,4 yrs 11 mos,2021-07-20,0,,1,https://github.com/antimatter-finance,1,https://twitter.com/antimatterdefi,0,,1,https://t.me/antimatterchat,Ethereum,1,04/20/2021|Fairyproof,No,,,,No,No,,,15.62%,0.00%
crepe,Crepe,72.70,,,,,,4 yrs 3 mos,2022-03-20,4 yrs 3 mos,2022-03-20,0,,1,https://github.com/Crepeinc,1,https://twitter.com/CREPENEWS,0,,0,,Polygon,0,,No,,,,No,No,,,18.01%,0.00%
ix-token,IX Token,72.44,$32.43K,$68.97K,,,,4 yrs 7 mos,2021-11-20,4 yrs 7 mos,2021-11-20,0,,0,,1,https://twitter.com/Planetix0,1,https://discord.com/invite/planetixofficial,0,,Polygon,0,,No,,,,No,No,,,59.09%,0.00%
regent-coin,Regent Coin,72.97,$1.13M,$970.48K,,,,3 yrs 7 mos,2022-11-20,3 yrs 7 mos,2022-11-20,0,,0,,1,https://twitter.com/regent_coin,0,,0,,Bsc,0,,Yes,1,,,No,No,,,42.96%,0.00%
studyum,Studyum,73.11,,,,,,7 yrs 11 mos,2018-07-20,4 yrs 8 mos,2021-10-20,0,,1,https://github.com/STUDYUM,1,https://twitter.com/Studyum_org,0,,1,https://t.me/Studyum_Crypto_Chat,Bsc,0,,Yes,1,,,No,No,,,54.92%,0.00%
vertex,Vertex,72.62,$158.32K,$0.00,,,,4 yrs 6 mos,2021-12-20,2 yrs 7 mos,2023-11-20,0,,1,https://github.com/vertex-protocol/vertex-contracts,1,https://twitter.com/vertex_protocol,0,,0,,Arbitrum | Ethereum,2,04/12/2024|OtterSec; 10/15/2023|OtterSec,No,,,,No,No,,,100.00%,0.00%
logx,LogX,72.51,$29.28K,$19.16K,,,,4 yrs 7 mos,2021-11-20,1 yrs 9 mos,2024-09-20,0,,1,https://github.com/eugenix-io/logx-network-token,1,https://twitter.com/LogX_trade,0,,0,,Mantle | Linea,1,08/01/2023|Solidproof,No,,,,No,No,,,68.54%,0.00%
thorswap,THORSwap,72.63,$9.47M,$86.55K,,,,5 yrs 3 mos,2021-03-20,4 yrs 8 mos,2021-10-20,0,,1,https://github.com/thorswap,1,https://twitter.com/thorswap,0,,0,,Ethereum,0,,No,,,,No,No,,,48.65%,0.00%
alex,ALEX,72.22,$919.75K,$135.56K,,,,5 yrs 0 mos,2021-06-20,5 yrs 0 mos,2021-06-20,0,,1,https://github.com/alexgo-io,1,https://twitter.com/ALEXLabBTC,1,https://discord.com/invite/alexlab,1,https://t.me/AlexCommunity,Bitcoin | Brc-20,0,,No,,,,No,No,,,,
nervenetwork,NerveNetwork,72.37,$161.10K,$14.00,,,,6 yrs 4 mos,2020-02-20,5 yrs 9 mos,2020-09-20,0,,1,https://github.com/NerveNetwork,1,https://twitter.com/nerve_network,0,,1,https://t.me/NerveNetwork,,0,,No,,,,No,No,,,10.18%,0.00%
lovelyinu,Lovely Finance,72.35,,,,,,5 yrs 0 mos,2021-06-20,5 yrs 0 mos,2021-06-20,0,,1,https://github.com/LovelyFinance/,1,https://twitter.com/Lovely_finance,0,,0,,Bsc | Ethereum,0,,Yes,1,12/16/2021,LOVELY,No,No,,,99.59%,0.00%
befi-labs,BeFi Labs,72.33,$89.00K,$211.67K,,,,2 yrs 3 mos,2024-03-20,2 yrs 3 mos,2024-03-20,0,,0,,1,https://twitter.com/BefiLabs,0,,0,,Bitcoin,0,,No,,,,No,No,,,62.12%,0.65%
quarashi,Quarashi,72.17,,,,,,5 yrs 1 mos,2021-05-20,4 yrs 3 mos,2022-03-20,0,,1,https://github.com/quarashi-network,1,https://twitter.com/QuarashiN,0,,0,,Bsc | Ethereum,0,,Yes,2,,,No,No,,,51.58%,0.00%
fegtoken,FEG Token,72.01,$2.68M,$361.86K,,,,5 yrs 4 mos,2021-02-20,5 yrs 4 mos,2021-02-20,0,,1,https://github.com/fegtoken,1,https://x.com/FEGtoken,0,,1,https://t.me/fegchat,Ethereum,1,02/10/2023|Peckshield,No,,,,No,No,,,55.44%,0.01%
tom-finance,TOM Finance,72.01,,,,,,5 yrs 7 mos,2020-11-20,5 yrs 7 mos,2020-11-20,0,,1,https://github.com/TomFinance,1,https://twitter.com/defi_tom,0,,1,https://t.me/defitom,Ethereum,0,,No,,,,No,No,,,97.60%,0.00%
openlive-nft,Monbase,71.98,$7.88M,$26.84K,,,,4 yrs 5 mos,2022-01-20,4 yrs 5 mos,2022-01-20,0,,0,,1,https://twitter.com/monbaseglobal,0,,1,https://t.me/monbaseglobal,Bsc,0,,Yes,2,,,No,No,,,23.80%,0.00%
openleverage,OpenLeverage Protocol,71.78,$189.52K,$1.03K,$0,$0,$1.41B,5 yrs 0 mos,2021-06-20,4 yrs 6 mos,2021-12-20,0,,1,https://github.com/OpenLeverageDev,1,https://twitter.com/OpenLeverage,0,,1,https://t.me/openleverage,Ethereum | Bsc,0,,Yes,1,,,No,No,59,10M,43.22%,0.00%
xhashtag,xHashtag,71.74,$18.95K,$1.54K,,,,5 yrs 6 mos,2020-12-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/xhashtagio,0,,1,https://t.me/xhashtagio,Solana,0,,No,,,,No,No,,,24.90%,0.00%
argentinefootballassociationfantoken,Argentine Football Association Fan Token,71.71,$4.05M,$1.60M,,,,12 yrs 0 mos,2014-06-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://twitter.com/chiliz,0,,1,https://t.me/chiliztrade,Chiliz | Sectors | Gaming | NFT | Socials,0,,No,,,,No,No,,,,
orangedx,OrangeDX,72.04,,$257.54,,,,2 yrs 3 mos,2024-03-20,2 yrs 3 mos,2024-03-20,0,,0,,1,https://twitter.com/OrangDx_BRC20,0,,1,https://t.me/OrangeDx_Official_Chat,Bitcoin,4,09/01/2024|Solidproof; 08/25/2024|Solidproof; 03/01/2024|Solidproof; 02/01/2024|Solidproof,No,,,,No,No,,,23.90%,0.00%
zero-tech,Zero,71.85,$690.83K,$797.24,,,,5 yrs 8 mos,2020-10-20,4 yrs 6 mos,2021-12-20,0,,1,https://github.com/zer0-os,1,https://twitter.com/meowchain,0,,1,https://t.me/wilder_world,Ethereum,0,,No,,,,No,No,,,97.20%,0.00%
winr-protocol,WINR Protocol,73.11,$614.60K,$216.43,,,,3 yrs 6 mos,2022-12-20,3 yrs 3 mos,2023-03-20,0,,1,https://github.com/winrprotocol/WINR_Protocol,1,https://twitter.com/WINRProtocol,0,,1,https://t.me/WINRProtocol,,1,04/26/2023|Paladinsec,No,,,,No,No,,,,
magicswap,Magicswap,71.66,$14.93M,$3.69M,,,,4 yrs 9 mos,2021-09-20,4 yrs 9 mos,2021-09-20,0,,1,https://github.com/TreasureProject/magicswap,1,https://twitter.com/Magicswap_,1,https://discord.com/invite/treasuredao,0,,Arbitrum,0,,No,,,,No,No,,,29.40%,0.00%
bitcointry,Bitcointry,71.64,$102.58K,$71.79,,,,2 yrs 8 mos,2023-10-20,2 yrs 8 mos,2023-10-20,0,,1,https://github.com/bitcointryExchange,1,https://x.com/Bitcointrycom,0,,1,https://t.me/bitcointryofficial,Bsc,1,01/13/2024|Cyberscope,Yes,1,,,No,No,,,91.79%,0.00%
dinoswap,DinoSwap,71.60,$34.24K,$177.25,,,,5 yrs 3 mos,2021-03-20,4 yrs 11 mos,2021-07-20,0,,1,https://github.com/dinoswap,1,https://twitter.com/DinoSwapHQ,0,,1,https://t.me/DinoSwapOfficial,Polygon,0,,Yes,3,,,No,No,1,150K,67.56%,0.00%
renq-finance,RenQ Finance,71.56,,$3.45K,,,,3 yrs 6 mos,2022-12-20,3 yrs 6 mos,2022-12-20,0,,1,https://github.com/renqfinance,1,https://twitter.com/RenQ_Finance,0,,1,https://t.me/renqfinance,Ethereum,0,,Yes,1,,,No,No,,,64.96%,7.00%
metropolis,Metropolis,71.48,$53.31K,$422.35,,,,3 yrs 5 mos,2023-01-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://x.com/MetropolisDEX,0,,1,https://t.me/MetropolisDEX,Fantom,0,,No,,,,No,No,,,,
perptools,PERPTools,71.45,,,,,,1 yrs 7 mos,2024-11-20,9 yrs 0 mos,2017-06-20,0,,0,,1,https://x.com/perptools,0,,1,https://t.me/PERPTools_DEX,,0,,No,,,,No,No,,,,
polkabridge,PolkaBridge,71.43,,$15.51K,,,,5 yrs 5 mos,2021-01-20,5 yrs 3 mos,2021-03-20,0,,1,https://github.com/cyclese96,1,https://twitter.com/realpolkabridge,0,,0,,Polkadot | Polygon,0,,Yes,2,10/28/2021,PolkaBridge-DEX PolkaBridge-Deflationary-Farming PolkaBridgeFarm,No,No,,,35.54%,0.00%
voxel-x-network,Voxel X Network,71.31,,$7.18K,,,,4 yrs 6 mos,2021-12-20,4 yrs 6 mos,2021-12-20,0,,0,,1,https://twitter.com/VoxelXnetwork,0,,1,https://t.me/VoxelXNetwork_Official,Ethereum,0,,Yes,2,,,No,No,,,66.96%,0.00%
oxchange,Oxchange,71.29,,$3.16K,,,,3 yrs 11 mos,2022-07-20,0 yrs 0 mos,2026-06-20,0,,0,,1,https://x.com/oxchange_io,0,,0,,Polygon,0,,Yes,1,,,No,No,,,87.97%,0.00%
nifty-league,Nifty League,71.22,$68.43K,$3.21K,,,,5 yrs 1 mos,2021-05-20,4 yrs 9 mos,2021-09-20,0,,1,https://github.com/NiftyLeague,1,https://twitter.com/NiftyLeague,0,,0,,Ethereum,0,,No,,,,No,No,,,58.82%,0.00%
swap-coffee,swap coffee,71.20,,$1.67,,,,2 yrs 0 mos,2024-06-20,2 yrs 0 mos,2024-06-20,0,,1,https://github.com/swapcoffee,1,https://x.com/swap_coffee_ton,0,,0,,,1,07/16/2025|Trailofbits,No,,,,No,No,,,,
coinmerge,CoinMerge,71.12,,,,,,3 yrs 4 mos,2023-02-20,3 yrs 4 mos,2023-02-20,0,,0,,1,https://twitter.com/coinmerge,0,,0,,,0,,Yes,2,,,No,Yes,,,39.91%,0.00%
velar,Velar,71.09,$65.39K,$2.67,,,,3 yrs 2 mos,2023-04-20,2 yrs 3 mos,2024-03-20,0,,1,https://github.com/Velar-co,1,https://twitter.com/VelarBTC,0,,0,,,0,,No,,,,No,No,,,86.62%,0.00%
aperture,Aperture Finance,71.09,,,"$5,942.00","$55,837.00",$16M,2 yrs 2 mos,2024-04-20,2 yrs 2 mos,2024-04-20,0,,0,,1,https://x.com/ApertureFinance,0,,0,,Ethereum,0,,No,,,,No,No,,,,
ipor,IPOR,70.96,,$5.99K,,,,5 yrs 0 mos,2021-06-20,3 yrs 6 mos,2022-12-20,0,,1,https://github.com/IPOR-Labs,1,https://twitter.com/ipor_io,1,https://discord.com/invite/bSKzq6UMJ3,0,,Ethereum,0,,No,,,,No,No,,,0.00%,0.00%
mettalex,Mettalex,71.03,$25.16K,$3.69K,,,,7 yrs 11 mos,2018-07-20,5 yrs 9 mos,2020-09-20,0,,1,https://github.com/fetchai,1,https://twitter.com/Mettalex,0,,1,https://t.me/mettalex_official,Ethereum,0,,No,,,,No,No,,,78.25%,0.00%
dfx-finance,DFX Finance,70.96,$32.55K,$29.86,,,,5 yrs 7 mos,2020-11-20,5 yrs 5 mos,2021-01-20,0,,1,https://github.com/dfx-finance,1,https://twitter.com/DFXFinance,0,,1,https://t.me/dfx_finance,Ethereum,0,,No,,,,No,No,33,4M,88.32%,6.47%
yieldflow,YieldFlow,70.79,,,,,,3 yrs 4 mos,2023-02-20,3 yrs 3 mos,2023-03-20,0,,1,https://github.com/yieldflow/,1,https://twitter.com/yieldflowdotcom,0,,0,,Polygon | Arbitrum,0,,Yes,3,,,No,No,,,,
nullink,NuLink,70.76,,$9.96,,,,4 yrs 11 mos,2021-07-20,2 yrs 2 mos,2024-04-20,0,,1,https://github.com/NuLink-network,1,https://twitter.com/NuLink_,0,,1,https://t.me/NuLink2021,Bsc | Ethereum,0,,Yes,1,,,No,No,,,82.18%,0.00%
bitshares,BitShares,70.73,$2.96M,$67.07K,,,,12 yrs 3 mos,2014-03-20,12 yrs 3 mos,2014-03-20,0,,1,https://github.com/bitshares,1,https://twitter.com/BitSharesGroup,0,,1,https://t.me/BitSharesGroup,,0,,No,,,,No,No,,,,
coinflex,CoinFLEX,70.73,,,,,,7 yrs 4 mos,2019-02-20,5 yrs 5 mos,2021-01-20,0,,1,https://github.com/coinflex-exchange/flex-dao/tree/master,1,https://twitter.com/CoinFLEXdotcom,0,,1,https://t.me/coinflex_EN,Ethereum,0,,Yes,2,12/27/2021,CoinFLEX DAO - Addendum CoinFLEX DAO,No,No,,,99.15%,0.00%
thetanuts-finance,Thetanuts Finance,70.72,$3.64M,$76.32K,,,,2 yrs 1 mos,2024-05-20,2 yrs 1 mos,2024-05-20,0,,0,,1,https://twitter.com/ThetanutsFi,0,,0,,Ethereum,6,02/12/2024|Halborn; 05/28/2022|Peckshield; 04/01/2022|Akira Tech; 03/16/2022|Zokyo; 02/25/2022|Akira Tech; 02/16/2022|,No,,,,No,No,,,75.99%,0.00%
belt,Belt Finance,70.12,$282.74K,$498.69,,,,5 yrs 4 mos,2021-02-20,5 yrs 3 mos,2021-03-20,0,,1,https://github.com/BeltFi/,1,https://twitter.com/BELT_Finance,0,,1,https://t.me/BeltFinance,Bsc,0,,No,,,,No,No,,,36.68%,6.80%
corex-network,COREx Network,70.70,,,,,,2 yrs 2 mos,2024-04-20,2 yrs 2 mos,2024-04-20,0,,1,https://github.com/CoreXNetwork,1,https://twitter.com/COREx_Official,0,,1,https://t.me/Corexchat,Coredao,0,,No,,,,,,,,,
gamma-strategies,Gamma,70.53,$32.61K,$1.89,,,,5 yrs 1 mos,2021-05-20,4 yrs 5 mos,2022-01-20,0,,1,https://github.com/GammaStrategies,1,https://twitter.com/GammaStrategies,0,,0,,Ethereum | Bsc,0,,No,,,,No,No,,,82.18%,5.82%
luffy-nft-marketplace,Luffy NFT Marketplace,71.74,$436.45K,$3.08,,,,4 yrs 2 mos,2022-04-20,4 yrs 2 mos,2022-04-20,0,,0,,1,https://twitter.com/luffyinutoken,0,,0,,Ethereum | Bsc,0,,Yes,1,,,No,No,,,67.57%,8.09%
pharaoh,Pharaoh,71.05,,$177.31,,,,2 yrs 6 mos,2023-12-20,2 yrs 6 mos,2023-12-20,0,,0,,1,https://x.com/PharaohExchange,0,,0,,Avalanche,0,,No,,,,No,No,,,98.70%,0.00%
frax-price-index,Frax Price Index,70.54,,$767.55,,,,6 yrs 8 mos,2019-10-20,4 yrs 2 mos,2022-04-20,0,,1,https://github.com/FraxFinance,1,https://twitter.com/fraxfinance,0,,1,https://t.me/fraxfinance,Ethereum,0,,No,,,,No,No,,,100.00%,0.00%
blueshift,Blueshift,70.49,,,,,,4 yrs 5 mos,2022-01-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/blueshift-fi/blueshift-token,1,https://twitter.com/blueshiftfi,0,,1,https://t.me/BlueshiftGroup,Cardano,0,,Yes,2,,,No,No,,,100.00%,50.00%
perifinance,PERI Finance,70.49,,$2.09K,,,,5 yrs 1 mos,2021-05-20,5 yrs 1 mos,2021-05-20,0,,1,https://github.com/perifinance,1,https://twitter.com/PERIfinance,0,,1,https://t.me/peri_global,Bsc | Ethereum,0,,Yes,1,,,No,No,,,100%,0.49%
unification,Unification,70.42,,,,,,3 yrs 7 mos,2022-11-20,3 yrs 7 mos,2022-11-20,0,,0,,1,https://twitter.com/unificationUND,0,,1,https://t.me/unificationfoundation,Ethereum,0,,No,,,,No,No,,,34.09%,0.00%
kibainu,Kiba Inu,70.38,,$1.43K,,,,4 yrs 7 mos,2021-11-20,4 yrs 7 mos,2021-11-20,0,,0,,1,https://twitter.com/KibaInuWorld,0,,0,,Bsc | Ethereum,0,,Yes,2,,,No,No,,,37.06%,2.24%
mandala-exchange,Mandala Exchange,70.34,,$0.00,,,,5 yrs 7 mos,2020-11-20,5 yrs 7 mos,2020-11-20,0,,0,,1,https://twitter.com/mandalaex,1,https://discord.com/invite/fga49J7Gm6,1,https://t.me/mandalaexchange,Ethereum,0,,Yes,2,,,No,No,,,83.65%,0.01%
leverfi,LeverFi,70.32,,,,,,4 yrs 2 mos,2022-04-20,4 yrs 1 mos,2022-05-20,0,,1,https://github.com/LeverFi,1,https://twitter.com/LeverFi,0,,0,,Ethereum,0,,No,,,,No,No,,,58.02%,0.00%
foxify,Foxify,70.28,,$125.59,,,,3 yrs 2 mos,2023-04-20,2 yrs 8 mos,2023-10-20,0,,1,https://github.com/foxify-trade,1,https://twitter.com/foxifytrade,1,https://discord.com/invite/foxifytrade,0,,Arbitrum,0,,Yes,1,,,No,No,,,,
comdex,Comdex,69.77,$20.27K,$86.95,,,,4 yrs 11 mos,2021-07-20,0 yrs 0 mos,2026-06-20,0,,1,https://github.com/comdex-official,1,https://twitter.com/ComdexOfficial,0,,1,https://t.me/ComdexChat,Cosmos,3,11/23/2022|Oak-security; 10/28/2022|Oak-security; 08/05/2022|Credshields,No,,,,No,No,,,,
ariva,Ariva,70.60,$137.61K,$8.20K,,,,5 yrs 0 mos,2021-06-20,5 yrs 0 mos,2021-06-20,0,,1,https://github.com/ariva-digital,1,https://twitter.com/ArivaCoin,0,,1,https://t.me/ariva_arv,Ethereum | Bsc,0,,Yes,1,,,No,No,,,0.15%,0.00%
integral,Integral,70.22,$31.91K,$84.43,"$758,504.00",$5.62M,$6.82B,5 yrs 3 mos,2021-03-20,4 yrs 9 mos,2021-09-20,0,,1,https://github.com/IntegralHQ,1,https://twitter.com/integralhq,0,,0,,Ethereum | Arbitrum,0,,No,,,,No,No,,,80.31%,0.00%
polkadex,Polkadex,70.20,,$991.15,,,,5 yrs 9 mos,2020-09-20,5 yrs 2 mos,2021-04-20,0,,1,https://github.com/Polkadex-Substrate,1,https://twitter.com/polkadex,0,,1,https://t.me/Polkadex,Ethereum | Polkadot,0,,Yes,1,,,No,No,,,70.25%,0.00%
the-apis,The APIS,70.18,,,,,,4 yrs 6 mos,2021-12-20,4 yrs 6 mos,2021-12-20,0,,0,,1,https://twitter.com/TheAPIS_xyz,0,,0,,Ethereum,0,,Yes,1,,,No,No,,,97.16%,0.00%
interport-token,Interport Token,69.95,,$51.44,,,,3 yrs 9 mos,2022-09-20,3 yrs 7 mos,2022-11-20,0,,1,https://github.com/Interport-Finance,1,https://twitter.com/interportfi,0,,0,,Ethereum,0,,No,,,,No,No,,,78.41%,0.00%
digiverse,Digiverse,70.45,,,,,,2 yrs 7 mos,2023-11-20,2 yrs 5 mos,2024-01-20,0,,1,https://github.com/DigiverseProject,1,https://twitter.com/Digiversede,0,,1,https://t.me/+sPFx4YgYGow5ZTM0,Ethereum | Bsc,0,,Yes,2,,,No,No,,,7.40%,0.00%
